X	Y
238	264
238	265
239	264
239	265
573	455
573	456
574	455
574	456
462	314
462	315
463	314
463	315
708	236
708	237
709	236
709	237
444	158
444	159
445	158
445	159
256	485
256	486
257	485
257	486
718	450
718	451
719	450
719	451
188	126
188	127
189	126
189	127
614	342
614	343
615	342
615	343
124	352
124	353
125	352
125	353
